chr	start	end	peak_id	score	strand	intron_chr	intron_start	intron_end	intron_id	intron_score	intron_strand	rPos	Overlap_start	Overlap_end	Control_start	Control_end	Intron_length	Control_length	ExonORIntron	Overlap_Phastcon	Control_Phastcon	Overlap_GC	Control_GC	Class	m6A_Intensity
chr1	4781845	4782083	m6AIP_SySy_peak_1	0.0	-	chr1	4777648	4782567	ENSMUST00000156816.6|Mrpl15|ENSMUSG00000033845.13|protein_coding_Intron_3	0.0	-	0.13275055905671884	4781845	4782083	4779761	4779999	4919	723	Alternative_ExonIntron	0.302324	0.0679958	0.46638655462184875	0.3403361344537815	Cfg1	2.40196894801533
chr1	4983900	4984029	m6AIP_abcam_peak_2	0.0	-	chr1	4923989	5020737	ENSMUST00000118000.7|Rgs20|ENSMUSG00000002459.17|protein_coding_Intron_2	0.0	-	0.3799871831975855	4983900	4984029	4995595	4995724	96748	1651	Constitutive_Intron	0	0	0.4728682170542636	0.3333333333333333	Cfg3	1.72203183299092
chr1	5127220	5127320	m6AIP_abcam_peak_3	0.0	+	chr1	5124469	5133083	ENSMUST00000044369.12|Atp6v1h|ENSMUSG00000033793.12|protein_coding_Intron_9	0.0	+	0.3242396099373114	5127220	5127320	5126128	5126228	8614	6789	Constitutive_Intron	0.48383	0	0.46	0.5	Cfg3	0.471878459270871
chr1	6251387	6251507	m6AIP_SySy_peak_5a	0.0	+	chr1	6250167	6260929	ENSMUST00000027040.12|Rb1cc1|ENSMUSG00000025907.14|protein_coding_Intron_15	0.0	+	0.11958743727931612	6251387	6251507	6260678	6260798	10762	1738	Constitutive_Intron	0.0249083	0.0158583	0.4083333333333333	0.4	Cfg2	1.99462231853126
chr1	6251508	6251619	m6AIP_SySy_peak_5b	0.0	+	chr1	6250167	6260929	ENSMUST00000027040.12|Rb1cc1|ENSMUSG00000025907.14|protein_coding_Intron_15	0.0	+	0.12962274670135662	6251508	6251619	6256230	6256341	10762	12982	Constitutive_Intron	0.135324	0.141766	0.38738738738738737	0.44144144144144143	Cfg2	1.42085558929907
chr1	7111915	7112088	m6AIP_abcam_peak_8	0.0	+	chr1	7089216	7120193	ENSMUST00000061280.16|Pcmtd1|ENSMUSG00000051285.17|protein_coding_Intron_1	0.0	+	0.7340607547535268	7111915	7112088	7109060	7109233	30977	2184	Constitutive_Intron	0.0953757	0.0368844	0.5317919075144508	0.4624277456647399	Cfg3	0.408389355094355
chr1	7164483	7164588	m6AIP_abcam_peak_10	0.0	+	chr1	7163371	7169514	ENSMUST00000061280.16|Pcmtd1|ENSMUSG00000051285.17|protein_coding_Intron_5	0.0	+	0.18720494872212273	7164483	7164588	7164619	7164724	6143	27021	Constitutive_Intron	0.0387048	0.0173714	0.4666666666666667	0.42857142857142855	Cfg3	0.652235549652995
chr1	10115088	10115324	m6AIP_abcam_peak_19	0.0	+	chr1	10113707	10116017	ENSMUST00000071087.11|Cspp1|ENSMUSG00000056763.16|protein_coding_Intron_21	0.0	+	0.6151515151515151	10115088	10115324	10114613	10114849	2310	3911	Constitutive_Intron	0.138843	0.10839	0.4872881355932203	0.4110169491525424	Cfg3	0.42290866889181
chr1	15811104	15811227	m6AIP_abcam_peak_28	0.0	+	chr1	15807736	15813040	ENSMUST00000188371.6|Terf1|ENSMUSG00000025925.14|protein_coding_Intron_2	0.0	+	0.6370663650075414	15811104	15811227	15811434	15811557	5304	2723	Constitutive_Intron	0.458455	0.22261	0.37398373983739835	0.45528455284552843	Cfg3	-0.344730276249375
chr1	15811330	15811441	m6AIP_abcam_peak_29	0.0	+	chr1	15807736	15813040	ENSMUST00000188371.6|Terf1|ENSMUSG00000025925.14|protein_coding_Intron_2	0.0	+	0.6909879336349924	15811330	15811441	15808817	15808928	5304	5304	Constitutive_Intron	0.0570721	0.0864054	0.44144144144144143	0.3153153153153153	Cfg3	0.22190717340925
